Magazine,1,National Geographic,Magazine,2025,available,0,common,00279358,2025-03-01,Science
Magazine,2,The New Yorker,Magazine,2025,available,0,common,0028792X,2025-02-15,Politics
Magazine,3,Time,Magazine,2025,available,0,common,0040781X,2025-03-28,Current Events
Magazine,4,Scientific American,Magazine,2025,available,0,common,00368733,2025-01-10,Science
Magazine,5,Forbes,Magazine,2025,available,0,common,00156914,2025-03-05,Finance
Magazine,6,The Economist,Magazine,2025,available,0,common,00130613,2025-03-22,Economics
Magazine,7,Wired,Magazine,2025,available,0,common,10592876,2025-02-28,Technology
Magazine,8,Harvard Business Review,Magazine,2025,available,0,common,00178012,2025-01-20,Business
Magazine,9,Smithsonian,Magazine,2025,available,0,common,0037731X,2025-03-10,History
Magazine,10,Vogue,Magazine,2025,available,0,common,0042071X,2025-02-01,Fashion
Magazine,11,The Atlantic,Magazine,2025,available,0,common,10727825,2025-01-18,Culture
Magazine,12,New Scientist,Magazine,2025,available,0,common,02624079,2025-03-15,Science
Magazine,13,Popular Science,Magazine,2025,available,0,common,01617370,2025-02-12,Technology
Magazine,14,National Review,Magazine,2025,available,0,common,00280038,2025-01-08,Politics
Magazine,15,Discover,Magazine,2025,available,0,common,02747537,2025-03-03,Science
Magazine,16,GQ,Magazine,2025,available,0,common,00168520,2025-02-25,Lifestyle
Magazine,17,The Nation,Magazine,2025,available,0,common,00278378,2025-01-30,Politics
Magazine,18,PC Gamer,Magazine,2025,available,0,common,10882751,2025-03-19,Gaming
Magazine,19,Bon Appétit,Magazine,2025,available,0,common,15257571,2025-02-10,Food
Magazine,20,Entertainment Weekly,Magazine,2025,available,0,common,10490434,2025-03-07,Entertainment
